Sample_Name,ROH_40,ROH_frac
Boltonia_001,26437642,0.06038748743718593
Boltonia_002,66567202,0.1520493421653723
Boltonia_004,41329318,0.09440227957971677
Boltonia_005,80987917,0.18498838967565098
Boltonia_006,85308359,0.19485691868433075
Boltonia_007,41692563,0.09523198492462312
Boltonia_008,58351823,0.13328420054819554
Boltonia_009,82553365,0.188564104613979
Boltonia_012,75007824,0.17132897213339424
Boltonia_013,48008391,0.10965827089995432
Boltonia_014,117900630,0.2693024897213339
Boltonia_015,138152673,0.31556115349474645
Boltonia_016,44245452,0.1010631612608497
Boltonia_017,75954382,0.17349105070808588
Boltonia_019,46814568,0.10693140246687985
Boltonia_020,46987399,0.10732617405207857
Boltonia_021,39366371,0.08991861809045226
Boltonia_022,202793335,0.46320999314755595
Boltonia_023,63354907,0.14471198492462312
Boltonia_024,49176515,0.11232643901324806
Boltonia_025,39193393,0.08952351073549566
Boltonia_026,51306786,0.11719229328460484
Boltonia_027,62767637,0.14337057332115122
Boltonia_028,52931406,0.12090316582914573
Boltonia_029,51488590,0.11760756052992234
Boltonia_030,48660287,0.11114729785290087
Boltonia_031,51094146,0.11670659205116492
Boltonia_032,61321714,0.1400678711740521
Boltonia_033,51565311,0.11778280264961169
Boltonia_034,45007203,0.10280311329374144
Boltonia_035,33905217,0.07744453403380538
Boltonia_036,31553252,0.07207229785290087
Boltonia_037,97883839,0.2235811763362266
Boltonia_038,49966564,0.11413102786660576
Boltonia_039,62760788,0.1433549291914116
Boltonia_040,63137573,0.14421556190041115
Boltonia_042,54970728,0.12556127912288717
Boltonia_043,92090363,0.21034801964367292
Boltonia_044,52747307,0.12048265646413887
Boltonia_045,88884768,0.20302596619460941
Boltonia_046,53752005,0.1227775354042942
Boltonia_047,76378859,0.17446061900411147
Boltonia_048,69863506,0.15957858839652808
Boltonia_050,40744504,0.09306647784376428
Boltonia_051,54508439,0.12450534262220192
Boltonia_052,46352212,0.10587531292827775
Boltonia_053,60853585,0.13899859524897212
Boltonia_054,73360418,0.1675660529922339
Boltonia_055,71365151,0.16300856783919598
Boltonia_056,57484275,0.13130259250799453
Boltonia_057,52269174,0.11939052992233896
Boltonia_058,83775477,0.1913555893101873
Boltonia_059,52663662,0.12029159890360895
Boltonia_060,56519036,0.12909784376427594
Boltonia_061,82284926,0.18795095020557331
Boltonia_062,82281590,0.18794333028780266
Boltonia_063,55291033,0.12629290315212427
Boltonia_064,50105300,0.11444792142530837
Boltonia_065,62462342,0.14267323435358611
Boltonia_066,50736053,0.11588865463682047
Boltonia_067,44498359,0.10164083828232069
Boltonia_070,43420618,0.09917911831886707
Boltonia_071,47381106,0.10822545911375057
Boltonia_072,70049205,0.1600027523983554
Boltonia_073,51285269,0.11714314527181362
Boltonia_074,51924308,0.11860280493375971
Boltonia_075,43867113,0.10019897898583828
Boltonia_076,52772176,0.12053946094106899
Boltonia_077,56543211,0.12915306304248517
Boltonia_078,40014753,0.09139961854728186
Boltonia_079,77097102,0.17610119232526267
Boltonia_080,59035715,0.13484631110095935
Boltonia_081,55709192,0.12724804020100502
Boltonia_083,65916984,0.15056414801279122
Boltonia_084,52183706,0.11919530835998172
Boltonia_085,48799002,0.1114641434444952
Boltonia_086,59142776,0.13509085427135678
Boltonia_087,49722320,0.11357313841936957
Boltonia_088,46744785,0.10677200776610324
Boltonia_089,51741782,0.11818588853357698
Boltonia_090,54364133,0.12417572635906807
Boltonia_091,71674068,0.1637141799908634
Boltonia_092,72276799,0.16509090680676108
Boltonia_093,46400424,0.10598543627227044
Boltonia_094,37264095,0.08511670854271357
Boltonia_095,39480234,0.0901786980356327
Boltonia_096,67646925,0.1545155893101873
Boltonia_097,129003054,0.2946620694380996
Boltonia_098,50621304,0.11562655093650069
Boltonia_099,48025912,0.10969829145728643
Boltonia_100,90814339,0.20743339195979899
Boltonia_101,42375160,0.09679113750571038
Boltonia_102,91357533,0.2086741274554591
Boltonia_103,107661920,0.24591576062128825
Boltonia_105,51209057,0.11696906578346276
Boltonia_106,67165558,0.15341607583371403
Boltonia_107,48530320,0.11085043398812243
Boltonia_108,64294757,0.14685874143444494
Boltonia_109,52003006,0.11878256281407035
Boltonia_110,66508043,0.1519142142530836
Boltonia_111,44353970,0.10131103243490178
Boltonia_112,48537384,0.11086656920968478
Boltonia_113,49049213,0.11203566240292372
Boltonia_114,32702920,0.07469830973047054
Boltonia_115,38451164,0.08782814984010964
Boltonia_116,72322983,0.16519639789858384
Boltonia_117,57058640,0.13033037916857013
Boltonia_118,47698851,0.10895123572407492
Boltonia_119,43911266,0.10029983097304705
Boltonia_120,94215311,0.21520171539515762
Boltonia_121,109515116,0.25014873458200093
Boltonia_123,53388502,0.12194724074920055
Boltonia_124,51068355,0.11664768158976702
Boltonia_125,80766432,0.18448248515303792
Boltonia_126,55949096,0.1277960164458657
Boltonia_127,44910618,0.10258249885792599
Boltonia_128,48861498,0.11160689355870261
Boltonia_129,41503406,0.09479992233896757
Boltonia_130,50294605,0.1148803220648698
Boltonia_131,97569126,0.22286232526267702
Boltonia_132,102154862,0.23333682503426223
Boltonia_133,46766949,0.10682263362265874
Boltonia_134,55643221,0.12709735267245317
Boltonia_135,168751364,0.3854530927364093
Boltonia_136,49743471,0.11362145043398812
Boltonia_137,48070929,0.10980111694837826
Boltonia_138,50997801,0.11648652581087254
Boltonia_139,53655021,0.12255600959342165
Boltonia_140,68577949,0.15664218592964824
Boltonia_141,74192063,0.16946565326633165
Boltonia_142,54464356,0.12440465052535404
Boltonia_143,111091601,0.25374965966194607
Boltonia_144,76815949,0.1754589972590224
Boltonia_145,56943179,0.13006664915486524
Boltonia_146,87280329,0.19936119004111466
Boltonia_147,50014076,0.1142395523069895
Boltonia_148,41521139,0.09484042713567839
Boltonia_149,251664758,0.5748395568752855
Boltonia_150,64299003,0.14686843992690726
Boltonia_151,64433473,0.1471755893101873
Boltonia_152,45428774,0.10376604385564185
Boltonia_153,48922991,0.11174735267245317
Boltonia_154,52566919,0.1200706235724075
Boltonia_155,41346692,0.094441964367291
Boltonia_157,44510529,0.10166863636363636
Boltonia_158,94147877,0.21504768615806305
Boltonia_159,46497160,0.10620639561443582
Boltonia_160,59182266,0.1351810552763819
Boltonia_161,89269516,0.2039047875742348
Boltonia_162,89333735,0.20405147327546824
Boltonia_163,54168661,0.12372923937871175
Boltonia_164,46102532,0.10530500685244404
Boltonia_165,62188242,0.14204714938328003
Boltonia_167,40621314,0.09278509365006853
Boltonia_168,51992172,0.11875781635449977
Boltonia_169,35808111,0.08179102558245774
Boltonia_170,50905271,0.11627517359524897
Boltonia_171,57159109,0.13055986523526725
Boltonia_172,123178476,0.2813578711740521
