Sample_Name,ROH_frac,Heterozygosity,Adapted_Latitude,Adapted_Longitude
Boltonia_001,0.06038748743718593,0.14320033417353992,38.6494444,-90.1161111
Boltonia_002,0.1520493421653723,0.12450992518686708,38.6494444,-90.1161111
Boltonia_004,0.09440227957971677,0.12903211793479852,40.07116308939078,-90.429571958886
Boltonia_005,0.18498838967565098,0.11059118537251418,40.2047222,-90.1994444
Boltonia_006,0.19485691868433075,0.10864473316594837,40.2047222,-90.1994444
Boltonia_007,0.09523198492462312,0.13200062127142723,40.69584983597212,-89.54394792156027
Boltonia_008,0.13328420054819554,0.12358092111924829,38.86501904919102,-90.22302347588696
Boltonia_009,0.188564104613979,0.11259250807016298,38.96139842380207,-90.51481032460988
Boltonia_012,0.17132897213339424,0.11489688347471405,38.96139842380207,-90.51481032460988
Boltonia_013,0.10965827089995432,0.1275057873106071,41.045,-89.4311111
Boltonia_014,0.2693024897213339,0.09529162222975521,40.2047222,-90.1994444
Boltonia_015,0.31556115349474645,0.08636848789004997,41.34414603458205,-89.55849691836283
Boltonia_016,0.1010631612608497,0.1349889541984155,38.86501904919102,-90.22302347588696
Boltonia_017,0.17349105070808588,0.11844859603450619,40.2047222,-90.1994444
Boltonia_019,0.10693140246687985,0.13229068158518162,40.0672223,-90.4275
Boltonia_020,0.10732617405207857,0.13167175597561312,40.8852777,-89.4583333
Boltonia_021,0.08991861809045226,0.1366613051173125,40.4925,-89.9022222
Boltonia_022,0.46320999314755595,0.05770503897275199,40.010555600000004,-90.4458333
Boltonia_023,0.14471198492462312,0.12216313948516136,40.2047222,-90.1994444
Boltonia_024,0.11232643901324806,0.1298114917113122,41.34414603458205,-89.55849691836283
Boltonia_025,0.08952351073549566,0.13732613139025207,40.0672223,-90.4275
Boltonia_026,0.11719229328460484,0.12716704684533114,40.7222223,-89.5519444
Boltonia_027,0.14337057332115122,0.12429010641531628,38.96139842380207,-90.51481032460988
Boltonia_028,0.12090316582914573,0.12737380127408682,40.7222223,-89.5519444
Boltonia_029,0.11760756052992234,0.13096857182430996,40.8852777,-89.4583333
Boltonia_030,0.11114729785290087,0.12836663148352037,40.69584983597212,-89.54394792156027
Boltonia_031,0.11670659205116492,0.1278008179416222,39.8672223,-90.5533333
Boltonia_032,0.1400678711740521,0.12444551119737096,39.7852777,-90.5902777
Boltonia_033,0.11778280264961169,0.12649422221836074,41.045,-89.4311111
Boltonia_034,0.10280311329374144,0.13423305139627856,38.6891666,-90.0972222
Boltonia_035,0.07744453403380538,0.14087063838916772,38.6494444,-90.1161111
Boltonia_036,0.07207229785290087,0.1432604619803261,38.6494444,-90.1161111
Boltonia_037,0.2235811763362266,0.10703278012176816,40.69584983597212,-89.54394792156027
Boltonia_038,0.11413102786660576,0.12630293162977568,39.7852777,-90.5902777
Boltonia_039,0.1433549291914116,0.11949989600893454,39.8672223,-90.5533333
Boltonia_040,0.14421556190041115,0.1212236443487096,40.7222223,-89.5519444
Boltonia_042,0.12556127912288717,0.12954346791571533,38.6891666,-90.0972222
Boltonia_043,0.21034801964367292,0.11234226058851612,40.2047222,-90.1994444
Boltonia_044,0.12048265646413887,0.13000764493949404,40.010555600000004,-90.4458333
Boltonia_045,0.20302596619460941,0.1098588051997631,40.2047222,-90.1994444
Boltonia_046,0.1227775354042942,0.1253411925005529,40.0672223,-90.4275
Boltonia_047,0.17446061900411147,0.11528987683368341,39.7852777,-90.5902777
Boltonia_048,0.15957858839652808,0.11950380112013426,40.0672223,-90.4275
Boltonia_050,0.09306647784376428,0.13357485703846522,39.8672223,-90.5533333
Boltonia_051,0.12450534262220192,0.12721135192774644,38.86501904919102,-90.22302347588696
Boltonia_052,0.10587531292827775,0.13429284953115878,38.86501904919102,-90.22302347588696
Boltonia_053,0.13899859524897212,0.12516576043030755,41.34414603458205,-89.55849691836283
Boltonia_054,0.1675660529922339,0.11511726350881923,40.7222223,-89.5519444
Boltonia_055,0.16300856783919598,0.11570952341939356,40.2047222,-90.1994444
Boltonia_056,0.13130259250799453,0.12205272937893828,41.34414603458205,-89.55849691836283
Boltonia_057,0.11939052992233896,0.12420474437446023,41.34414603458205,-89.55849691836283
Boltonia_058,0.1913555893101873,0.110609854087809,38.96139842380207,-90.51481032460988
Boltonia_059,0.12029159890360895,0.1305865192187558,39.8672223,-90.5533333
Boltonia_060,0.12909784376427594,0.12565790392412324,41.34414603458205,-89.55849691836283
Boltonia_061,0.18795095020557331,0.11787892899249272,40.2047222,-90.1994444
Boltonia_062,0.18794333028780266,0.11227203060581939,40.2047222,-90.1994444
Boltonia_063,0.12629290315212427,0.1220081732789716,40.8852777,-89.4583333
Boltonia_064,0.11444792142530837,0.1292600494763214,38.6494444,-90.1161111
Boltonia_065,0.14267323435358611,0.11963122060490229,41.34414603458205,-89.55849691836283
Boltonia_066,0.11588865463682047,0.12513956473590568,41.045,-89.4311111
Boltonia_067,0.10164083828232069,0.13291663396500028,38.96139842380207,-90.51481032460988
Boltonia_070,0.09917911831886707,0.13106095207072807,40.69584983597212,-89.54394792156027
Boltonia_071,0.10822545911375057,0.12853218291573582,39.8672223,-90.5533333
Boltonia_072,0.1600027523983554,0.11802052290631335,38.6891666,-90.0972222
Boltonia_073,0.11714314527181362,0.12569724104702526,41.045,-89.4311111
Boltonia_074,0.11860280493375971,0.12624266993557257,40.4925,-89.9022222
